Country,Region,Year, GDP_pp 
Antigua and Barbuda,Central America and the Caribbean,1/1/1901,917.85
Antigua and Barbuda,Central America and the Caribbean,1/1/1906,948.58
Antigua and Barbuda,Central America and the Caribbean,1/1/1911,980.33
Antigua and Barbuda,Central America and the Caribbean,1/1/1916,"1,068.17"
Antigua and Barbuda,Central America and the Caribbean,1/1/1921,"1,205.64"
Antigua and Barbuda,Central America and the Caribbean,1/1/1926,"1,360.81"
Antigua and Barbuda,Central America and the Caribbean,1/1/1931,"1,535.94"
Antigua and Barbuda,Central America and the Caribbean,1/1/1936,"1,733.61"
Antigua and Barbuda,Central America and the Caribbean,1/1/1941,"1,956.72"
Antigua and Barbuda,Central America and the Caribbean,1/1/1946,"2,208.55"
Antigua and Barbuda,Central America and the Caribbean,1/1/1951,"2,492.79"
Antigua and Barbuda,Central America and the Caribbean,1/1/1956,"2,813.60"
Antigua and Barbuda,Central America and the Caribbean,1/1/1961,"3,175.71"
Antigua and Barbuda,Central America and the Caribbean,1/1/1966,"3,584.41"
Antigua and Barbuda,Central America and the Caribbean,1/1/1971,"4,138.47"
Antigua and Barbuda,Central America and the Caribbean,1/1/1976,"3,991.80"
Antigua and Barbuda,Central America and the Caribbean,1/1/1981,"5,882.22"
Antigua and Barbuda,Central America and the Caribbean,1/1/1986,"8,513.74"
Antigua and Barbuda,Central America and the Caribbean,1/1/1991,"11,751.60"
Antigua and Barbuda,Central America and the Caribbean,1/1/1996,"12,104.52"
Antigua and Barbuda,Central America and the Caribbean,1/1/2001,"12,770.74"
Antigua and Barbuda,Central America and the Caribbean,1/1/2006,"16,223.39"
Antigua and Barbuda,Central America and the Caribbean,1/1/2011,"13,508.80"
Argentina,South America,1/1/1901,"3,611.77"
Argentina,South America,1/1/1906,"4,580.22"
Argentina,South America,1/1/1911,"4,726.01"
Argentina,South America,1/1/1916,"3,767.94"
Argentina,South America,1/1/1921,"4,242.31"
Argentina,South America,1/1/1926,"4,962.42"
Argentina,South America,1/1/1931,"4,633.64"
Argentina,South America,1/1/1936,"4,872.97"
Argentina,South America,1/1/1941,"5,393.04"
Argentina,South America,1/1/1946,"5,845.22"
Argentina,South America,1/1/1951,"6,362.13"
Argentina,South America,1/1/1956,"6,630.03"
Argentina,South America,1/1/1961,"7,367.29"
Argentina,South America,1/1/1966,"7,955.97"
Argentina,South America,1/1/1971,"9,408.19"
Argentina,South America,1/1/1976,"9,611.92"
Argentina,South America,1/1/1981,"9,421.94"
Argentina,South America,1/1/1986,"9,026.86"
Argentina,South America,1/1/1991,"8,575.87"
Argentina,South America,1/1/1996,"10,245.38"
Argentina,South America,1/1/2001,"9,992.71"
Argentina,South America,1/1/2006,"11,865.58"
Argentina,South America,1/1/2011,"15,595.39"
Bahamas,Central America and the Caribbean,1/1/1901,"2,402.45"
Bahamas,Central America and the Caribbean,1/1/1906,"2,482.88"
Bahamas,Central America and the Caribbean,1/1/1911,"2,566.00"
Bahamas,Central America and the Caribbean,1/1/1916,"2,890.79"
Bahamas,Central America and the Caribbean,1/1/1921,"3,449.44"
Bahamas,Central America and the Caribbean,1/1/1926,"4,116.06"
Bahamas,Central America and the Caribbean,1/1/1931,"4,911.49"
Bahamas,Central America and the Caribbean,1/1/1936,"5,860.65"
Bahamas,Central America and the Caribbean,1/1/1941,"6,289.83"
